time,user,user_id,name,text,loc,time_zone,statuses_count,followers_count,friends_count,source,lat,lon,mood
2012-06-19 00:36:02 -0700,Flamedeal,40819302,Flame Deal,RT @HarvardBiz - Why “I’m Sorry” Doesn’t Always Translate - Harvard Business Review: http://t.co/6YBw69lE,"Manhattan, NY ",Eastern Time (US & Canada),712,181,379,TweetButton,40.7834345,-73.9662495,2
2012-06-19 00:23:45 -0700,UmarAlam,29059141,Umar Alam,RT @Harvard: Real students and real stories: tales of life @Harvard College in the admissions blog http://t.co/grIPNg8J,London,London,1104,70,237,SocialFlow,51.5073346,-0.1276831,4
2012-06-19 00:20:18 -0700,Bullshit_DENYED,388373302,Caution_Im Trouble;),@MilliVinillie Ice cream in harvard square ?,Cambridge,Quito,10475,336,211,web,42.3736158,-71.10973349999999,2
2012-06-19 00:11:52 -0700,PatrickHenry999,235887538,PatrickHenry,RT @NewsNinja2012: BREAKING NEWS!! Must See &gt;&gt; Obama’s Harvard law professor says ‘President MUST be defeated in 2012 in scathing video!! http://t.co/Uth61rGp,California and the high seas,Pacific Time (US & Canada),4329,10749,3783,TweetDeck,33.6655158,-117.9873604,2
2012-06-19 00:04:48 -0700,osteobcn,179121858,Gerard Alvarez,RT @smfleming: Neuroscience of empathy: critical review by zaki and ochsner http://t.co/lcmi1Wdc,Barcelona,Greenland,1040,266,239,SafarioniOS,41.387917,2.1699187,2
2012-06-19 00:03:52 -0700,onissuenews,430953130,Val Atkins,Mitt Romney now says he never went to law school. His Harvard JD disagrees. http://t.co/Rbv5IUZT @Add onissuenews,New York City,Eastern Time (US & Canada),5083,352,392,NewsPin,40.7143528,-74.00597309999999,2
2012-06-18 23:59:56 -0700,AllenGuyWilcox,227382271,Allen Wilcox,"Roberto Unger, Obama's Former Harvard Law School Professor, Says The President 'Must Be Defeated' http://t.co/6ekmn9zR via @HuffPostBiz",Brooklyn,Eastern Time (US & Canada),575,44,80,TweetButton,40.65,-73.95,2
2012-06-18 23:58:39 -0700,crypticvalentin,17674244,Vas,Obama's Harvard Professor(video)..#obama..#unger     http://t.co/ZegJLLhe,"Washington, DC",Central Time (US & Canada),60054,427,101,web,38.8951118,-77.0363658,2
2012-06-18 23:41:00 -0700,jcimini,16456236,jcimini,Obama’s former Harvard professor: ‘He must be defeated’ http://t.co/eieDEYOR,"brampton,ontario,canada",Quito,29863,197,18,Visibli,43.685271,-79.75992400000001,2
2012-06-18 23:33:23 -0700,PMArthur,245207151,Patrick M Arthur,#news Rogoff: 'Deep problems' for Athens - Harvard economics professor Ken Rogoff on the challenges Greece faces aft... http://t.co/YUtQSkMy,NYC,,5643,662,1405,HootSuite,40.7143528,-74.00597309999999,2
2012-06-18 23:29:32 -0700,Sunset2Go2,476025107,WayOutWest,"RT @NewsNinja2012: ""Obama must be defeated"" - Obama's former Harvard Law professor - http://t.co/de3R79gh | @chrisloesch @dloesch @joelpollak",Battle Born State,Pacific Time (US & Canada),7749,627,718,TweetDeck,38.8026097,-116.419389,2
2012-06-18 23:28:00 -0700,JennyShellby,56104414,Jenny Shellby USA,Rogoff: 'Deep problems' for Athens - Harvard economics professor Ken Rogoff on the challenges Greece faces after the... http://t.co/FzvheneI,"New York, USA",Pacific Time (US & Canada),1155,18321,5648,HootSuite,40.7143528,-74.00597309999999,2
2012-06-18 23:28:00 -0700,GameKillMykel,373948401,MyKeL GameKILL,Rogoff: 'Deep problems' for Athens - Harvard economics professor Ken Rogoff on the challenges Greece faces after the... http://t.co/YWSpLlyq,"New York, USA",Eastern Time (US & Canada),294,5085,2628,HootSuite,40.7143528,-74.00597309999999,2
2012-06-18 23:27:50 -0700,KristofferNap,224179738,KristofferSöderström,"RT @HarvardHealth: If you automatically reach for a pill when something hurts, try these other, safer options. http://t.co/WkVgPd1E","Solna, Sweden",Stockholm,474,40,42,web,59.36887909999999,18.0084334,2
2012-06-18 23:21:33 -0700,dsearls,3339171,Doc Searls,@MatchUpBox Easy: join the #VRM list: http://t.co/P7Q093tj,"Cambridge, Mass",Pacific Time (US & Canada),5470,17129,1806,web,42.3736158,-71.10973349999999,2
2012-06-18 23:20:04 -0700,aySchleg,28865046,Tom,Feelings are a std says phd from Harvard,College - D[M]V ,Central Time (US & Canada),7790,329,244,TwitterforiPhone,38.7053,-76.5783,2
2012-06-18 23:18:22 -0700,cambridgepads,15098261,Cambridge Apartments,"CAMBRIDGE - Harvard Square 3 Bed 1 Bath 2,575.00 Available 2012-09-01. For full listing click here http://t.co/yV5N9L53","Cambridge, MA",Eastern Time (US & Canada),59301,298,399,twitterfeed,42.3736158,-71.10973349999999,2
2012-06-18 23:02:12 -0700,evanTwalsh,28993030,Evan Walsh,“@iamPeterThomas: @itsNickPrice @evantwalsh @nicksarazen WE ARE GENTLEMEN OF HARVARD.” Walk the cliff? This cliff should walk for me.,RHODE ISLAND,Eastern Time (US & Canada),2179,707,328,TwitterforiPhone,41.5800945,-71.4774291,2
2012-06-18 23:01:58 -0700,mikeyy_mas,340068529,Mikey Maze ,"I guess we’ll never know what Harvard gets us, but seeing my family have it all, took the place of that desire for diplomas on the wall",Hicksville,Quito,2394,152,147,TwitterforiPhone,40.7684331,-73.5251253,2
2012-06-18 23:01:49 -0700,kymdebra,31536710,Kym Cooper,"Roberto Unger, Obama's Former Harvard Law School Professor, Says The President 'Must Be Defeated' http://t.co/NkUdMiiw via @HuffPostBiz",New York,Eastern Time (US & Canada),937,134,533,TweetButton,40.7143528,-74.00597309999999,2
2012-06-18 22:53:56 -0700,ksvictor,52772014,Kain Victor,RT @BuzzFeedAndrew: Didn't realize Mitt Romney and George Bush graduated the same year from Harvard Business School 1975.,Berlin,Copenhagen,30,10,38,TweetDeck,52.519171,13.4060912,2
2012-06-18 22:47:06 -0700,HarvardGroup,344614205,The Ivy League Group,Ivy League News: Young Latino leaders head to Harvard: MERCED -- Having lived in a migrant camp in Planada for t... http://t.co/FxneWkpT,New York,Eastern Time (US & Canada),24777,613,103,twitterfeed,40.7143528,-74.00597309999999,2
2012-06-18 22:46:43 -0700,trigga_trea,381267739,Trèa-sure Ketter ,Harvard girls basketball team &gt;&gt;&gt;&gt;&gt;&gt;,North Philly ,Pacific Time (US & Canada),19449,397,343,TwitterforiPhone,40.0067623,-75.14286320000001,2
2012-06-18 22:45:08 -0700,chjac,444094211,Christoffer Jacobsen,RT @Duh_Progressive: RINGING ENDORSEMENT: Obama's Harvard law professor says 'he MUST be defeated in 2012' http://t.co/yqDwu2tt via @MailOnline,"Oslo, Norway",,622,53,166,TweetButton,59.9138688,10.7522454,2
2012-06-18 22:40:11 -0700,emperorjunlaw,159315664,Papuloswizi,Rogoff: 'Deep problems' for Athens: Harvard economics professor Ken Rogoff on the challenges Greece faces after ... http://t.co/rWJg8y7f,Never land,Pacific Time (US & Canada),14676,5008,5249,twitterfeed,28.4049529,-81.5837694,2
